МАТЧ,ВРЕМЯ,МОНТАЖЕР,Ссылка на готовый хайлайт (на диске),YOUTUBE КХЛ,,,,,,,,,,,,,,,,,,,,,
1 ноября (суббота),,,,,,,,,,,,,,,,,,,,,,,,,
Авангард - Нефтехимик,0.6875,Житников,https://disk.yandex.ru/i/oUgnEgdW99yIwQ,https://youtu.be/p_OSePOtS5A,,,,,,,,,,,,,,,,,,,,,
Ак Барс - Лада,0.79166666666666663,Поляков,https://disk.yandex.ru/i/yyqKdPTcrbTuUQ,https://youtu.be/Jb7j9kPgdVg,,,,,,,,,,,,,,,,,,,,,
Северсталь - Шанхайские Драконы,0.79166666666666663,Гриченко,https://disk.yandex.ru/d/z51t-l71E38bGQ,https://youtu.be/STq7S8muEA8,,,,,,,,,,,,,,,,,,,,,
Динамо М - ЦСКА,0.8125,Чурилов,https://disk.yandex.ru/d/yb2g9WO7DapBow,https://youtu.be/XXU2_Vc4_g0,,,,,,,,,,,,,,,,,,,,,
2 ноября (воскресенье),,,,,,,,,,,,,,,,,,,,,,,,,
Амур - Адмирал,0.41666666666666669,Гриченко,https://disk.yandex.ru/d/emmUmS28U050pw,https://youtu.be/ose9DgkGc4U,,,,,,,,,,,,,,,,,,,,,
Трактор - Сибирь,0.58333333333333337,Житников,https://disk.yandex.ru/i/qXbe3MgoprI9lw,https://youtu.be/s1YNfKq9heQ,,,,,,,,,,,,,,,,,,,,,
Автомобилист - Торпедо,0.60416666666666663,Колышев,https://disk.yandex.ru/d/kfs1yI3jaRLPeQ,https://youtu.be/zIS_rj36EWM,,,,,,,,,,,,,,,,,,,,,
Салават Юлаев - Локомотив,0.60416666666666663,Чурилов,https://disk.yandex.ru/i/fNCZ7I1UCjmJ8Q,https://youtu.be/OO70FBL_tug,,,,,,,,,,,,,,,,,,,,,
ХК Сочи - Спартак,0.70833333333333337,Поляков,https://disk.yandex.ru/i/fviBMfo6_azCkw,https://youtu.be/INS_-YdYo3w,,,,,,,,,,,,,,,,,,,,,
3 ноября (понедельник),,,,,,,,,,,,,,,,,,,,,,,,,
Металлург Мг - Шанхайские Драконы,0.60416666666666663,Колышев,https://disk.yandex.ru/d/7wVV1vSG0Htslg,https://youtu.be/JmEBh1z4CsQ,,,,,,,,,,,,,,,,,,,,,
Барыс - Нефтехимик,0.72916666666666663,Гриченко,https://disk.yandex.ru/d/O8nr1OSim-WqDg,https://youtu.be/5bbCgIFaWqk,,,,,,,,,,,,,,,,,,,,,
Динамо Мн - ЦСКА,0.79861111111111116,Осипов,,,,,,,,,,,,,,,,,,,,,,,
4 ноября (вторник),,,,,,,,,,,,,,,,,,,,,,,,,
Сибирь - Торпедо,0.5625,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
СКА - Динамо М,0.70833333333333337,Житников,,,,,,,,,,,,,,,,,,,,,,,
ХК Сочи - Спартак,0.70833333333333337,Осипов,,,,,,,,,,,,,,,,,,,,,,,
5 ноября (среда),,,,,,,,,,,,,,,,,,,,,,,,,
Амур - Авангард,0.51041666666666663,Осипов,,,,,,,,,,,,,,,,,,,,,,,
