МАТЧ,ВРЕМЯ,МОНТАЖЕР,Ссылка на готовый хайлайт (на диске),YOUTUBE КХЛ,,,,,,,,,,,,,,,,,,,,,
1 октября (среда),,,,,,,,,,,,,,,,,,,,,,,,,
Авангард - Адмирал,0.6875,Колышев,https://disk.yandex.ru/i/qrQQOo4oZ5FwNQ,https://youtu.be/opY43GDJksg,,,,,,,,,,,,,,,,,,,,,
Салават Юлаев - Сибирь,0.70833333333333337,Гриченко,https://disk.yandex.ru/d/5sKaBzi5CBWcRg,https://youtu.be/YwdozVKIujM,,,,,,,,,,,,,,,,,,,,,
Автомобилист - Амур,0.70833333333333337,Чурилов,,,,,,,,,,,,,,,,,,,,,,,
Барыс - Локомотив,0.70833333333333337,Житников,https://disk.yandex.ru/i/MmtY1rogYnwZxA,https://youtu.be/tu5-tZyBP0k,,,,,,,,,,,,,,,,,,,,,
Динамо Мн - Северсталь,0.8125,Осипов,,,,,,,,,,,,,,,,,,,,,,,
СКА - Торпедо,0.8125,Поляков,https://disk.yandex.ru/i/E2lg0I5oSApyeA,https://youtu.be/HIf_vLXj_eQ,,,,,,,,,,,,,,,,,,,,,
2 октября (четверг),,,,,,,,,,,,,,,,,,,,,,,,,
Нефтехимик - Лада,0.79166666666666663,Житников,https://disk.yandex.ru/i/-xRYR9Fxktx6SQ,https://youtu.be/h5BBdMErPrM,,,,,,,,,,,,,,,,,,,,,
Динамо М - Трактор,0.8125,Гриченко,https://disk.yandex.ru/d/TaLMDQXvMnLc3Q,https://youtu.be/z0RhChC4i4A,,,,,,,,,,,,,,,,,,,,,
3 октября (пятница),,,,,,,,,,,,,,,,,,,,,,,,,
Авангард - Локомотив,0.6875,Гриченко,https://disk.yandex.ru/d/q9St9GAw0ZTnYg,https://youtu.be/5ZdvRXB3bl4,,,,,,,,,,,,,,,,,,,,,
Спартак - СКА,0.79166666666666663,Житников,https://disk.yandex.ru/i/AifCfiP_JFFI7Q,https://youtu.be/gHTCYHoMyjY,,,,,,,,,,,,,,,,,,,,,
Ак Барс - Амур,0.79166666666666663,Гриченко,https://disk.yandex.ru/d/y_vmaTge80ZU2g,https://youtu.be/OHn_XzOw4Rs,,,,,,,,,,,,,,,,,,,,,
